StockCode,product_clusters,tsne_1,tsne_2,median_unit_price,mode_description
21976,1,47.66162,16.458231,1.2650000000000001,PACK OF 60 MUSHROOM CAKE CASES
21977,1,53.064114,26.503761,1.25,PACK OF 60 PINK PAISLEY CAKE CASES
21980,1,46.11666,16.006868,0.5900000000000001,PACK OF 12 RED RETROSPOT TISSUES 
21981,1,47.63433,18.489996,0.39,PACK OF 12 WOODLAND TISSUES 
21982,1,47.63433,18.489996,0.39,PACK OF 12 SUKI TISSUES 
21983,1,53.1402,26.636051,0.79,PACK OF 12 BLUE PAISLEY TISSUES 
21984,1,53.13941,26.633692,0.39,PACK OF 12 PINK PAISLEY TISSUES 
21985,4,49.407536,18.145363,0.39,PACK OF 12 HEARTS DESIGN TISSUES 
21986,1,49.13211,19.359118,0.39,PACK OF 12 PINK POLKADOT TISSUES
21987,1,53.77542,12.732808,0.65,PACK OF 6 SKULL PAPER CUPS
21988,1,53.37116,13.111084,1.24,PACK OF 6 SKULL PAPER PLATES
21989,1,53.998833,13.067818,1.24,PACK OF 20 SKULL PAPER NAPKINS
21990,1,23.058214,21.409464,2.485,MODERN FLORAL STATIONERY SET
21991,1,23.05825,21.4096,2.485,BOHEMIAN COLLAGE STATIONERY SET
21992,1,54.71062,29.780233,2.73,VINTAGE PAISLEY STATIONERY SET
21993,1,23.625528,21.93216,2.51,FLORAL FOLK STATIONERY SET
22016,1,36.30849,27.032087,83.33,Dotcomgiftshop Gift Voucher £100.00
22021,1,-44.026314,-13.403774,2.4699999999999998,BLUE FELT EASTER EGG BASKET
22023,1,26.137358,50.035133,0.83,EMPIRE BIRTHDAY CARD
22024,1,26.216228,51.383896,0.625,RAINY LADIES BIRTHDAY CARD
22025,1,10.929922,-3.0837936,0.625,RING OF ROSES BIRTHDAY CARD
22026,1,26.216228,51.383896,0.625,BANQUET BIRTHDAY  CARD  
22027,1,58.468872,-13.2640085,0.83,TEA PARTY BIRTHDAY CARD
22028,1,26.851734,51.138737,0.625,PENNY FARTHING BIRTHDAY CARD
22029,1,26.137358,50.035133,0.83,SPACEBOY BIRTHDAY CARD
22030,1,27.181337,52.979507,0.42,SWALLOWS GREETING CARD
22031,1,26.767086,50.99833,0.63,BOTANICAL LAVENDER BIRTHDAY CARD
22032,1,27.452887,52.59533,0.43,BOTANICAL LILY GREETING CARD
22033,1,20.620937,52.8708,0.625,BOTANICAL ROSE GREETING CARD
22034,1,31.568968,56.237328,0.625,ROBIN CHRISTMAS CARD
22035,1,23.470232,53.853695,0.625,VINTAGE CARAVAN GREETING CARD 
22037,1,26.851734,51.138737,0.625,ROBOT BIRTHDAY CARD
22038,1,63.364372,26.224678,0.42,BOTANICAL LAVENDER GIFT WRAP 
22039,1,63.364372,26.224678,0.42,BOTANICAL LILY GIFT WRAP
22040,1,62.726547,26.325754,0.42,BOTANICAL ROSE GIFT WRAP
22041,1,-30.440145,-33.090042,4.96,"RECORD FRAME 7"" SINGLE SIZE "
22042,1,31.566397,56.224564,0.43,CHRISTMAS CARD SINGING ANGEL
22043,1,31.565832,56.22251,0.39,CHRISTMAS CARD SCREEN PRINT 
22044,1,31.564575,56.21719,0.305,CHRISTMAS CARD STACK OF PRESENTS
22045,1,63.36316,26.22546,0.36,SPACEBOY GIFT WRAP
22046,1,58.77448,-13.135049,0.38,TEA PARTY  WRAPPING PAPER 
22047,1,63.36316,26.22546,0.36,EMPIRE GIFT WRAP
22048,1,63.36357,26.225197,0.38,BIRTHDAY BANQUET GIFT WRAP
22049,1,68.58537,23.438448,0.305,WRAP CHRISTMAS SCREEN PRINT
22050,1,61.7408,26.62088,0.38,PINK PAISLEY ROSE GIFT WRAP
22051,1,57.54027,27.646387,0.42,BLUE SCANDINAVIAN PAISLEY WRAP
22052,1,63.855553,26.525763,0.42,VINTAGE CARAVAN GIFT WRAP
22053,1,65.676186,-0.8416445,1.06,EMPIRE DESIGN ROSETTE
22055,4,0.19783068,26.16183,1.65,MINI CAKE STAND  HANGING STRAWBERY
22057,1,29.73323,-1.2425399,1.37,CERAMIC PLATE STRAWBERRY DESIGN
22059,1,28.729681,-3.3952944,1.49,CERAMIC STRAWBERRY DESIGN MUG
22060,4,-0.86165595,27.39304,8.5,LARGE CAKE STAND HANGING HEARTS
22061,4,-0.7836676,27.41326,8.5,LARGE CAKE STAND  HANGING STRAWBERY
22062,4,20.317358,2.5270035,2.95,CERAMIC BOWL WITH LOVE HEART DESIGN
22063,1,20.214346,2.5534923,2.95,CERAMIC BOWL WITH STRAWBERRY DESIGN
22064,1,4.1030664,-31.636292,1.65,PINK DOUGHNUT TRINKET POT 
22065,1,8.222133,11.500869,1.54,CHRISTMAS PUDDING TRINKET POT 
22066,4,26.492964,34.536015,1.45,LOVE HEART TRINKET POT
22067,0,-26.746912,29.959139,1.65,CHOC TRUFFLE GOLD TRINKET POT 
22068,1,-17.890177,-5.2552857,3.325,BLACK PIRATE TREASURE CHEST
22069,1,-17.893444,-5.273499,3.325,BROWN  PIRATE TREASURE CHEST 
22070,1,41.73633,0.05938625,3.36,SMALL RED RETROSPOT MUG IN BOX 
22071,1,41.736332,0.059387263,3.375,SMALL WHITE RETROSPOT MUG IN BOX 
22072,1,35.1556,-24.60897,3.75,RED RETROSPOT TEA CUP AND SAUCER 
22073,1,-39.6927,13.148416,5.605,RED RETROSPOT STORAGE JAR
22074,1,-18.084566,-79.78099,1.45,6 RIBBONS SHIMMERING PINKS 
22075,1,-20.135567,-81.5677,2.4699999999999998,6 RIBBONS ELEGANT CHRISTMAS 
22076,1,-17.689722,-80.35512,2.485,6 RIBBONS EMPIRE  
22077,1,-15.7998905,-81.140045,3.325,6 RIBBONS RUSTIC CHARM
22078,1,-17.178064,-82.75147,4.17,RIBBON REEL LACE DESIGN 
22079,4,-17.160753,-82.814964,2.51,RIBBON REEL HEARTS DESIGN 
22080,1,-15.753765,-79.86599,3.325,RIBBON REEL POLKADOTS 
22081,1,-17.649113,-80.96346,3.325,RIBBON REEL FLORA + FAUNA 
22082,1,-17.178915,-82.7517,3.325,RIBBON REEL STRIPES DESIGN 
22083,1,31.456364,8.895906,5.79,PAPER CHAIN KIT RETROSPOT
22084,1,27.19722,9.4888525,5.79,PAPER CHAIN KIT EMPIRE
22085,1,55.131855,12.5732155,2.95,PAPER CHAIN KIT SKULLS 
22086,1,26.220213,10.320324,5.91,PAPER CHAIN KIT 50'S CHRISTMAS 
22087,1,27.218864,9.479743,5.37,PAPER BUNTING WHITE LACE
22088,1,28.142673,-18.639578,4.17,PAPER BUNTING COLOURED LACE
22089,1,55.82728,29.630756,4.13,PAPER BUNTING VINTAGE PAISLEY
22090,1,31.45651,8.895863,5.85,PAPER BUNTING RETROSPOT
22091,1,10.246613,31.192553,1.155,EMPIRE TISSUE BOX
22092,1,54.368397,28.337206,0.835,BLUE PAISLEY TISSUE BOX
22093,1,10.246613,31.192553,1.155,MOTORING TISSUE BOX
22094,1,43.368004,4.100334,1.25,RED RETROSPOT TISSUE BOX
22095,1,10.246613,31.192553,1.155,LADS ONLY TISSUE BOX
22096,1,54.370346,28.348463,1.855,PINK PAISLEY SQUARE TISSUE BOX 
22097,1,11.036253,31.511032,1.855,SWALLOW SQUARE TISSUE BOX
22098,1,11.032564,31.51221,1.855,BOUDOIR SQUARE TISSUE BOX
22099,1,10.672231,31.719902,1.25,CARAVAN SQUARE TISSUE BOX
22100,1,57.007725,13.416855,1.855,SKULLS SQUARE TISSUE BOX
22101,4,-56.663727,10.69289,2.1,MIRROR MOSAIC VOTIVE HOLDER
22102,4,-56.479946,11.219962,1.65,MIRROR MOSAIC T-LIGHT HOLDER 
22103,4,-63.859707,0.9023678,1.45,MIRROR MOSAIC T-LIGHT HOLDER ROUND
22104,1,29.663338,1.4541305,1.54,MIRROR MOSAIC CANDLE PLATE
22105,4,-56.631207,10.814829,4.17,MIRROR MOSAIC GOBLET CANDLE HOLDER
22106,1,-57.075287,8.859465,5.06,MIRROR MOSAIC HURRICANE LAMP 
22107,1,30.981888,0.8443963,3.75,PIZZA PLATE IN BOX
22108,1,30.88006,0.8191318,3.325,PING! MICROWAVE PLATE
22109,1,30.889166,0.8080595,5.605,FULL ENGLISH BREAKFAST PLATE
22110,1,18.554508,-46.221325,5.79,BIRD HOUSE HOT WATER BOTTLE
22111,1,19.385263,-45.545372,5.91,SCOTTIE DOG HOT WATER BOTTLE
22112,1,19.385263,-45.545372,5.91,CHOCOLATE HOT WATER BOTTLE
22113,4,20.568512,-45.221375,7.62,GREY HEART HOT WATER BOTTLE
22114,1,19.950157,-44.14526,4.875,HOT WATER BOTTLE TEA AND SYMPATHY
22115,1,-23.711203,-56.100647,2.95,METAL SIGN EMPIRE TEA
22116,1,-26.16429,-54.958897,1.645,METAL SIGN HIS DINNER IS SERVED
22117,1,-24.823233,-55.520966,2.95,METAL SIGN HER DINNER IS SERVED 
22118,1,-5.386384,-10.307473,4.95,JOY WOODEN BLOCK LETTERS
22119,1,-5.373222,-10.305353,6.65,PEACE WOODEN BLOCK LETTERS
22120,1,-5.371853,-10.303649,10.13,WELCOME  WOODEN BLOCK LETTERS
22121,1,-5.371433,-10.303483,8.790000000000001,NOEL WOODEN BLOCK LETTERS 
22123,1,-13.380405,-15.169471,4.545,PING MICROWAVE APRON
22124,1,40.380314,-11.083346,2.51,SET OF 2 TEA TOWELS PING MICROWAVE
22125,1,19.895367,-45.822548,12.46,UNION JACK HOT WATER BOTTLE 
22127,1,57.7458,-17.502008,6.855,PARTY CONES CARNIVAL ASSORTED
22128,1,57.74329,-17.496586,1.665,PARTY CONES CANDY ASSORTED
22129,1,56.454853,-16.160473,0.85,PARTY CONES CANDY DECORATION
22130,1,56.39258,-16.424652,1.52,PARTY CONE CHRISTMAS DECORATION 
22131,4,26.701433,34.202522,3.04,FOOD CONTAINER SET 3 LOVE HEART 
22132,4,33.820698,-23.273249,1.24,RED LOVE HEART SHAPE CUP
22133,4,33.820698,-23.273249,1.24,PINK LOVE HEART SHAPE CUP
22134,4,23.66067,36.737663,0.425,MINI LADLE LOVE HEART RED 
22135,4,23.661,36.737408,0.63,MINI LADLE LOVE HEART PINK
22136,4,26.486624,34.54206,2.4699999999999998,LOVE HEART SOCK HANGER
22137,4,26.658182,33.723995,2.95,BATHROOM SET LOVE HEART DESIGN
22138,1,41.426533,4.349105,4.95,BAKING SET 9 PIECE RETROSPOT 
22139,1,38.762184,-10.549319,7.869999999999999,RETROSPOT TEA SET CERAMIC 11 PC 
22141,1,4.6073318,19.1705,4.13,CHRISTMAS CRAFT TREE TOP ANGEL
22142,1,26.773338,-37.381218,3.29,CHRISTMAS CRAFT WHITE FAIRY 
22144,1,8.416163,11.873185,4.13,CHRISTMAS CRAFT LITTLE FRIENDS
22145,4,6.5513215,11.712108,2.1,CHRISTMAS CRAFT HEART STOCKING 
22146,1,-47.569916,-19.501726,1.95,EASTER CRAFT IVY WREATH WITH CHICK
22147,4,-52.48035,21.420265,3.325,FELTCRAFT BUTTERFLY HEARTS
22148,1,-47.572796,-19.495573,4.13,EASTER CRAFT 4 CHICKS 
22149,1,-36.512882,1.6744902,4.17,FELTCRAFT 6 FLOWER FRIENDS
22150,1,-12.594459,-12.396183,4.17,3 STRIPEY MICE FELTCRAFT
22151,4,-17.692213,15.956288,1.63,PLACE SETTING WHITE HEART
22152,1,3.9850533,6.6292925,1.025,PLACE SETTING WHITE STAR
22153,4,2.6097395,7.6611705,0.625,ANGEL DECORATION STARS ON DRESS
22154,1,-3.2734916,8.93092,0.625,ANGEL DECORATION 3 BUTTONS 
22155,4,2.609642,7.660083,0.83,STAR DECORATION RUSTIC
22156,4,-4.7855115,9.762367,1.24,HEART DECORATION WITH PEARLS 
22157,1,-3.287496,8.8852825,0.85,ANGEL DECORATION WITH LACE PADDED
22158,4,-9.359095,10.118364,4.37,3 HEARTS HANGING DECORATION RUSTIC
22161,4,-9.402471,10.133445,0.79,HEART DECORATION RUSTIC HANGING 
22162,4,-9.456236,-3.6940694,3.325,HEART GARLAND RUSTIC PADDED
22163,4,-11.781046,29.125805,2.95,HEART STRING MEMO HOLDER HANGING
22164,4,23.783922,47.016167,5.79,STRING OF STARS CARD HOLDER
22165,4,-53.14659,8.445678,11.02,"DIAMANTE HEART SHAPED WALL MIRROR, "
22166,1,-53.14953,8.442055,7.785,WALL MIRROR RECTANGLE DIAMANTE PINK
22167,1,-53.1497,8.441951,9.21, OVAL WALL MIRROR DIAMANTE 
22168,1,-28.54516,0.6846764,8.075,ORGANISER WOOD ANTIQUE WHITE 
22169,1,-30.448643,-33.080173,8.5,FAMILY ALBUM WHITE PICTURE FRAME
22170,1,-27.954287,-1.3400916,6.75,PICTURE FRAME WOOD TRIPLE PORTRAIT
22171,1,-38.799686,-35.483875,8.075,3 HOOK PHOTO SHELF ANTIQUE WHITE
22173,1,-2.5699744,-47.881733,3.12,METAL 4 HOOK HANGER FRENCH CHATEAU
22174,1,-40.257565,-35.22616,3.29,PHOTO CUBE
22175,1,-13.31104,-13.979025,4.37,PINK OWL SOFT TOY
22176,1,-13.314009,-13.97645,4.37,BLUE OWL SOFT TOY
22178,4,-13.160483,31.426176,2.2,VICTORIAN GLASS HANGING T-LIGHT
22179,1,-47.139946,-50.721394,6.75,SET 10 LIGHTS NIGHT OWL
22180,1,41.71058,5.875016,19.96,RETROSPOT LAMP
22181,1,-44.116455,-35.86471,1.24,SNOWSTORM PHOTO FRAME FRIDGE MAGNET
22182,1,-0.19447292,28.779549,4.21,CAKE STAND VICTORIAN FILIGREE SMALL
22183,1,0.52444446,28.187452,5.93,CAKE STAND VICTORIAN FILIGREE MED
22184,1,-0.2138994,27.842855,8.47,CAKE STAND VICTORIAN FILIGREE LARGE
22185,4,9.294553,-56.899845,2.4699999999999998,SLATE TILE NATURAL HANGING
22186,4,23.783758,47.015934,2.95,RED STAR CARD HOLDER
22187,4,5.5647993,20.642757,6.27,GREEN CHRISTMAS TREE CARD HOLDER
22188,4,23.114199,49.420265,3.67,BLACK HEART CARD HOLDER
22189,4,-3.3994143,-18.096928,3.67,CREAM HEART CARD HOLDER
22190,1,50.872684,-27.89931,2.09,LOCAL CAFE MUG
22191,1,-75.91581,-8.102479,12.565,IVORY DINER WALL CLOCK
22192,1,-77.78425,-7.5523996,12.565,BLUE DINER WALL CLOCK
22193,1,-77.78425,-7.5523996,12.565,RED DINER WALL CLOCK
22194,1,-77.78425,-7.5523996,12.565,BLACK DINER WALL CLOCK
22195,4,-20.452768,7.7295136,2.4699999999999998,LARGE HEART MEASURING SPOONS
22196,4,-12.441017,19.081633,1.24,SMALL HEART MEASURING SPOONS
22197,4,-13.567539,27.599394,1.63,POPCORN HOLDER
22198,4,-19.833036,6.4832296,1.65,LARGE POPCORN HOLDER 
22199,1,40.765915,5.9654427,4.25,FRYING PAN RED RETROSPOT
22200,1,42.62116,-20.608772,4.25,FRYING PAN PINK POLKADOT
22201,1,42.78123,-20.562164,3.94,FRYING PAN BLUE POLKADOT
22202,1,42.353344,-21.025768,7.46,MILK PAN PINK POLKADOT
22203,1,40.75129,5.339131,3.75,MILK PAN RED RETROSPOT
22204,1,42.925587,-20.567781,3.36,MILK PAN BLUE POLKADOT
22206,1,51.486595,-27.457222,0.84,"MUG , DOTCOMGIFTSHOP.COM "
22207,1,-16.867043,-20.597054,6.27,FRYING PAN UNION FLAG
22208,1,-26.924929,-0.37065277,1.64,WOOD STAMP SET THANK YOU
22209,1,-26.92515,-0.37035728,1.65,WOOD STAMP SET HAPPY BIRTHDAY
22210,1,-26.925148,-0.37035802,1.65,WOOD STAMP SET BEST WISHES
22211,1,-27.170189,-0.8038734,1.64,WOOD STAMP SET FLOWERS
22212,1,0.077350646,-47.985027,2.22,FOUR HOOK  WHITE LOVEBIRDS
22214,1,30.08866,1.0048536,1.66,CANDLE PLATE LACE WHITE
22215,1,0.53072965,28.18031,8.5,CAKE STAND WHITE TWO TIER LACE
22216,4,-9.459035,32.926117,0.81,T-LIGHT HOLDER WHITE LACE
22217,4,-11.657394,30.99211,1.855,T-LIGHT HOLDER HANGING LACE
22218,1,0.5182769,28.193653,4.25,CAKE STAND LACE WHITE
22219,4,-8.813992,9.491733,1.24,LOVEBIRD HANGING DECORATION WHITE 
22220,1,0.5333989,28.176867,9.95,CAKE STAND LOVEBIRD 2 TIER WHITE
22221,1,0.5333989,28.176867,9.95,CAKE STAND LOVEBIRD 2 TIER PINK
22222,1,31.001375,-0.009723968,4.25,CAKE PLATE LOVEBIRD WHITE
22223,1,31.001375,-0.009723968,4.25,CAKE PLATE LOVEBIRD PINK
22224,1,-12.583471,-14.0680895,4.37,WHITE LOVEBIRD LANTERN
22227,4,-9.881775,10.659016,0.95,HANGING HEART MIRROR DECORATION 
22228,1,1.9502416,-3.6370091,0.84,BUNNY WOODEN PAINTED WITH BIRD 
22229,1,1.8769068,-3.5586867,0.84,BUNNY WOODEN PAINTED WITH FLOWER 
22230,1,15.119715,-44.193684,0.83,JIGSAW TREE WITH WATERING CAN
22231,1,6.367757,18.599142,1.31,JIGSAW TREE WITH BIRDHOUSE
22232,1,8.878783,-29.0265,1.45,JIGSAW TOADSTOOLS 3 PIECE
22233,1,8.65799,-28.697725,1.45,JIGSAW RABBIT AND BIRDHOUSE
22236,3,0.7939529,27.671215,11.85,CAKE STAND 3 TIER MAGIC GARDEN
22241,1,-42.97899,-20.289639,1.855,GARLAND WOODEN HAPPY EASTER
22242,1,0.07745394,-47.977703,2.4699999999999998,5 HOOK HANGER MAGIC TOADSTOOL
22243,1,0.078600064,-47.95044,3.29,5 HOOK HANGER RED MAGIC TOADSTOOL
22244,3,2.02646,-46.29961,3.04,3 HOOK HANGER MAGIC GARDEN
22245,3,2.0313761,-46.295536,1.24,"HOOK, 1 HANGER ,MAGIC GARDEN"
22246,3,-39.75686,-11.601964,1.95,MAGIC GARDEN FELT GARLAND 
22247,3,8.302536,-40.578484,0.8200000000000001,BUNNY DECORATION MAGIC GARDEN
22248,3,8.302476,-40.57856,0.83,DECORATION  PINK CHICK MAGIC GARDEN
22249,3,8.302536,-40.578484,0.8200000000000001,DECORATION WHITE CHICK MAGIC GARDEN
22250,3,-51.474213,21.021353,0.83,DECORATION  BUTTERFLY  MAGIC GARDEN
22251,3,8.300994,-40.581528,1.25,BIRDHOUSE DECORATION MAGIC GARDEN
22252,4,-2.7420912,10.005006,1.155,BIRDCAGE DECORATION TEALIGHT HOLDER
22254,1,-42.28486,-8.568567,1.25,FELT TOADSTOOL LARGE
22255,1,-42.929646,-9.656983,1.63,FELT TOADSTOOL  SMALL
22256,1,-41.94339,-9.910728,2.46,FELT FARM ANIMAL CHICKEN
22257,1,-41.950405,-9.905005,0.85,FELT FARM ANIMAL SHEEP
22258,1,-41.950405,-9.905005,0.85,FELT FARM ANIMAL RABBIT
22259,1,-41.950405,-9.905005,0.85,FELT FARM ANIMAL HEN
22260,1,-43.08592,-11.557458,1.63,FELT EGG COSY BLUE RABBIT 
22261,1,-43.08592,-11.557458,1.63,FELT EGG COSY WHITE RABBIT 
22262,1,-43.08592,-11.557458,1.63,FELT EGG COSY CHICKEN
22263,1,-43.08561,-11.555539,0.81,FELT EGG COSY LADYBIRD 
22264,1,-41.95038,-9.904878,0.8300000000000001,FELT FARM ANIMAL WHITE BUNNY 
22265,1,-46.22951,-19.331345,1.25,EASTER DECORATION NATURAL CHICK
22266,4,-45.771564,-20.32699,0.65,EASTER DECORATION HANGING BUNNY
22267,1,-45.70131,-17.108553,1.155,EASTER DECORATION EGG BUNNY 
22268,1,-3.287496,8.8852825,0.85,DECORATION SITTING BUNNY
22269,1,35.33676,-27.970089,1.25,EGG CUP NATURAL CHICKEN
22270,4,-45.76076,-20.311655,3.75,HAPPY EASTER HANGING DECORATION
22271,1,-13.271885,-14.021393,4.37,FELTCRAFT DOLL ROSIE
22272,1,-20.855637,-7.9718895,2.95,FELTCRAFT DOLL MARIA
22273,1,-21.350315,-7.44115,2.95,FELTCRAFT DOLL MOLLY
22274,1,-13.318263,-13.9772005,4.37,FELTCRAFT DOLL EMILY
22275,1,53.05234,30.871597,7.65,WEEKEND BAG VINTAGE ROSE PAISLEY
22276,1,53.05368,30.866526,5.79,WASH BAG VINTAGE ROSE PAISLEY
22277,1,53.053337,30.8623,2.1,COSMETIC BAG VINTAGE ROSE PAISLEY
22278,1,53.052135,30.871944,7.869999999999999,OVERNIGHT BAG VINTAGE ROSE PAISLEY
22279,1,32.616028,-7.9625974,1.25,POCKET BAG BLUE PAISLEY RED SPOT
22280,1,31.440498,-8.147275,1.05,POCKET BAG PINK PAISELY BROWN SPOT
22281,1,10.280128,5.659862,12.46,EASTER TREE YELLOW BIRDS
22282,1,-0.6878934,-2.4214528,18.855,12 EGG HOUSE PAINTED WOOD
22283,1,-0.6871386,-2.4211333,15.79,6 EGG HOUSE PAINTED WOOD
22284,1,-3.3817363,8.511557,3.29,HEN HOUSE DECORATION
22285,4,-8.766456,9.508248,3.29,HANGING HEN ON NEST DECORATION
22286,1,-6.080884,5.558205,1.65,DECORATION WOBBLY RABBIT METAL 
22287,1,-3.331382,8.738663,1.65,DECORATION WOBBLY CHICKEN
22288,4,-7.976163,8.453274,2.46,HANGING METAL RABBIT DECORATION
22289,4,-7.976163,8.453274,2.46,HANGING METAL CHICKEN DECORATION
22291,4,-9.257436,7.616073,1.45,HANGING CHICK CREAM DECORATION
22292,4,-8.79002,9.501862,2.185,HANGING CHICK  YELLOW DECORATION
22293,4,-8.789832,9.501946,2.185,HANGING CHICK GREEN DECORATION
22294,4,-12.441192,19.082808,1.855,HEART FILIGREE DOVE  SMALL
22295,4,-20.452768,7.7295136,2.4699999999999998,HEART FILIGREE DOVE LARGE
22296,4,-23.916622,11.6775875,2.4699999999999998,HEART IVORY TRELLIS LARGE
22297,4,-24.131544,14.068707,1.855,HEART IVORY TRELLIS SMALL
22299,1,-46.992596,-49.948143,1.855,PIG KEYRING WITH LIGHT & SOUND 
22300,1,53.79396,-27.480955,2.55,COFFEE MUG DOG + BALL DESIGN
22301,1,54.482113,-32.010124,2.55,COFFEE MUG CAT + BIRD DESIGN
22302,1,53.7943,-27.481752,2.325,COFFEE MUG PEARS  DESIGN
22303,1,53.79396,-27.480955,2.55,COFFEE MUG APPLES DESIGN
22304,1,63.38208,-9.814908,2.55,COFFEE MUG BLUE PAISLEY DESIGN
22305,1,63.382046,-9.814856,3.755,COFFEE MUG PINK PAISLEY DESIGN
22306,1,38.508114,-5.7144256,1.7999999999999998,SILVER MUG BONE CHINA TREE OF LIFE
22307,0,-25.218012,30.961151,1.7999999999999998,GOLD MUG BONE CHINA TREE OF LIFE
22308,1,40.98331,-11.717171,3.755,TEA COSY BLUE STRIPE
22309,1,40.98331,-11.717171,3.755,TEA COSY RED  STRIPE
22310,1,48.54977,-28.996595,2.4699999999999998,IVORY KNITTED MUG COSY 
22311,1,50.343933,-27.312004,5.85,OFFICE MUG WARMER BLACK+SILVER 
22312,1,46.83104,-25.044037,4.37,OFFICE MUG WARMER POLKADOT
22313,1,50.34683,-27.314081,5.79,OFFICE MUG WARMER PINK
22314,1,50.359352,-27.59479,5.37,OFFICE MUG WARMER CHOC+BLUE
22315,1,-0.9130235,-34.057785,1.855,200 RED + WHITE BENDY STRAWS
22316,1,56.93875,12.782571,1.855,200 BENDY SKULL STRAWS
22317,4,-8.77765,9.505734,2.75,FIVE CATS HANGING DECORATION
22318,4,-9.359095,10.118364,4.37,FIVE HEART HANGING DECORATION
22319,1,20.93268,-25.73887,0.42000000000000004,HAIRCLIPS FORTIES FABRIC ASSORTED
22320,1,11.602019,4.233252,8.790000000000001,BIRDS MOBILE VINTAGE DESIGN
22321,1,10.115911,2.7120447,1.63,BIRD DECORATION RED RETROSPOT
22322,1,10.148636,2.2994425,0.84,BIRD DECORATION GREEN POLKADOT
22323,1,44.20782,-19.27039,1.95,PINK POLKADOT KIDS BAG
22324,1,44.203068,-19.271862,3.04,BLUE POLKADOT KIDS BAG
22325,4,12.9955435,18.210516,4.6,MOBILE VINTAGE HEARTS 
22326,1,-65.6211,-2.79732,5.85,ROUND SNACK BOXES SET OF4 WOODLAND 
22327,1,-66.38084,-3.2814872,5.85,ROUND SNACK BOXES SET OF 4 SKULLS
22328,1,-65.61923,-2.7941947,4.21,ROUND SNACK BOXES SET OF 4 FRUITS 
22329,1,-64.78662,-2.7002192,1.65,ROUND CONTAINER SET OF 5 RETROSPOT
22331,1,68.927376,-16.346483,2.4699999999999998,WOODLAND PARTY BAG + STICKER SET
22332,1,69.12136,-16.115465,1.65,SKULLS PARTY BAG + STICKER SET
22333,1,68.86904,-16.381012,2.4699999999999998,RETROSPOT PARTY BAG + STICKER SET
22334,1,68.92752,-16.346317,1.65,DINOSAUR PARTY BAG + STICKER SET
22335,4,-0.83637124,1.7787482,0.95,HEART DECORATION PAINTED ZINC 
22336,4,-0.81624156,1.7807564,0.64,DOVE DECORATION PAINTED ZINC 
22337,4,-0.81624526,1.7807407,0.65,ANGEL DECORATION PAINTED ZINC 
22338,4,-0.71732914,1.7524136,0.65,STAR DECORATION PAINTED ZINC 
22339,4,-0.62423056,2.4478135,0.64,CHRISTMAS TREE PAINTED ZINC 
22340,4,-1.9181666,0.51534307,1.5499999999999998,NOEL GARLAND PAINTED ZINC 
22341,4,-1.9559315,0.4847817,1.65,LOVE GARLAND PAINTED ZINC 
22342,4,-1.9360032,0.4944452,1.64,HOME GARLAND PAINTED ZINC 
22343,1,55.773376,-15.203832,0.575,PARTY PIZZA DISH RED RETROSPOT
22344,1,54.22722,-16.513605,0.43,PARTY PIZZA DISH PINK POLKADOT
22345,1,54.22722,-16.513605,0.43,PARTY PIZZA DISH BLUE POLKADOT
22346,1,54.226036,-16.51395,0.575,PARTY PIZZA DISH GREEN POLKADOT
22348,1,33.06999,1.7300068,1.63,TEA BAG PLATE RED RETROSPOT
22349,1,21.83262,-2.1178823,3.75,DOG BOWL CHASING BALL DESIGN
22350,1,21.817648,-3.4211652,3.825,ILLUSTRATED CAT BOWL 
22351,1,40.90319,-11.82128,2.4699999999999998,DOTCOMGIFTSHOP TEA TOWEL
22352,1,36.33126,17.16387,4.13,LUNCH BOX WITH CUTLERY RETROSPOT 
22353,1,29.215492,-35.870518,2.55,LUNCH BOX WITH CUTLERY FAIRY CAKES 
22354,1,-5.356189,-61.564552,3.75,RETROSPOT PADDED SEAT CUSHION
22355,1,67.98797,4.4411817,1.805,CHARLOTTE BAG SUKI DESIGN
22356,1,44.209705,-19.26942,1.66,CHARLOTTE BAG PINK POLKADOT
22357,1,-59.398388,-16.323563,4.25,KINGS CHOICE BISCUIT TIN
22358,1,40.927296,-11.783964,2.95,KINGS CHOICE TEA CADDY 
22359,1,-40.730133,14.38912,5.79,GLASS JAR KINGS CHOICE
22360,1,-40.760117,14.268705,4.37,GLASS JAR ENGLISH CONFECTIONERY
22361,1,-40.760117,14.268705,4.37,GLASS JAR DAISY FRESH COTTON WOOL
22362,1,-40.760117,14.268705,4.37,GLASS JAR PEACOCK BATH SALTS
22363,1,-40.760117,14.268705,4.37,GLASS JAR MARMALADE 
22364,1,-40.760117,14.268705,4.37,GLASS JAR DIGESTIVE BISCUITS
22365,1,-21.973545,-25.532568,8.0,DOORMAT RESPECTABLE HOUSE
22366,1,-22.60873,-25.943092,8.1,DOORMAT AIRMAIL 
22367,1,49.224792,-5.586784,4.21,CHILDRENS APRON SPACEBOY DESIGN
22371,1,43.362312,38.45307,4.21,AIRLINE BAG VINTAGE TOKYO 78
22372,1,43.362568,38.453197,4.23,AIRLINE BAG VINTAGE WORLD CHAMPION 
22374,1,44.283154,38.887417,4.23,AIRLINE BAG VINTAGE JET SET RED
22375,1,44.283154,38.887417,4.23,AIRLINE BAG VINTAGE JET SET BROWN
